String,new_string
how much is a gold 1986 American Eagle worth ?,[{'generated_text': 'what is an official gold bullion coin of the u.s.a. ?'}]
how much is Hot yoga growing yearly,[{'generated_text': 'what is the common feature of all the four classes ?'}]
how old are the massey brothers,[{'generated_text': 'what isMassey famous for ?'}]
how much is 7 teaspoons ',[{'generated_text': 'what is a conventional teaspoon made of ?'}]
how are the archegonia of the fern and pine cone similar,[{'generated_text': 'what is pteridophyte ?'}]
how long is a flat membrane roof good for ?,[{'generated_text': 'why is it not easy to see where the water is leaking ?'}]
how cds are read,"[{'generated_text': 'what is a "" Compact Disc read-only memory "" ?'}]"
how much is jk rowling worth,[{'generated_text': 'why didRowling have overall control of the scripts ?'}]
how big is auburndale florida,[{'generated_text': 'where is the winter Haven metro area ?'}]
how are tropical storms and hurricanes named,[{'generated_text': 'how do tropical cyclones develop ?'}]
how old is the singer bob seger,[{'generated_text': 'where was he born and where did he come from ?'}]
how long was richard nixon a president,[{'generated_text': 'when wasixon elected to the u.s.a. ?'}]
how did bleeding sumner lead to the civil war,[{'generated_text': 'what is the relationship between the two persons ?'}]
how are business ethics different in Africa and United States,"[{'generated_text': 'according to the text , what is business ethics ?'}]"
how bad burns go to burn center,[{'generated_text': 'what kind of burns are fatal ?'}]
how deep is the atlantic ocean,[{'generated_text': 'how many oceanic divisions are there in the world according to the text ?'}]
how are storm names determined ?,[{'generated_text': 'how many tropical and subtropical names are given ?'}]
how big or small a visible light can get,[{'generated_text': 'why is the invisible window called the visible window ?'}]
how big are baby zebras when born,[{'generated_text': 'why are zebras endangered ?'}]
how did angelina jolie get her name ?,[{'generated_text': 'who played the lead role in the cyber-thriller Hackers ?'}]
how long was angelina on the jersey shore ?,[{'generated_text': 'how many educational institutions have had classes or conferences about the show ?'}]
how can a territory become a state,[{'generated_text': 'how many people are there in the text ?'}]
how old was arnold in terminator 3,[{'generated_text': 'which film is the second sequel to the third film ?'}]
how much is a cord of wood,[{'generated_text': 'how many countries are mentioned in the text ?'}]
how much was game boy color when it came out,[{'generated_text': 'what was the first bundled with the puzzle game Tetris ?'}]
how old were the twin towers when destroyed,[{'generated_text': 'how many buildings were there in the WTC building before it was rebuilt ?'}]
how are transverse ranges formed,[{'generated_text': 'where do the Transverse ranges begin ?'}]
how are the # of electrons in each shell determined,[{'generated_text': 'how do the electrons in the innermost occupied shell determine the chemistry of the atom ?'}]
how old was anna nicole smith when she meet her old husband,[{'generated_text': 'what was the age of Smith when she dropped out of high school ?'}]
how much is a yen coin,[{'generated_text': 'what color is the coin ?'}]
how tall are the members of tlc,[{'generated_text': 'what was the highest grossing tour of all time by a female band ?'}]
how long is the tarzan movie,[{'generated_text': 'what was the last major box office success of the Disney Renaissance ?'}]
how an oil rig works,[{'generated_text': 'where is the oil platform Mittelplate located ?'}]
how many presidents of the us,[{'generated_text': 'who was the first elected president of the us ?'}]
how a silencer works,[{'generated_text': 'who invented the suppressor ?'}]
how can hoa collect unpaid fees on property,"[{'generated_text': 'according to the text , who can become a member of a homeowners association ?'}]"
how big can texel guinea pigs become,[{'generated_text': 'how many organizations are there in the us ?'}]
how are ribosomes made,[{'generated_text': 'which is the correct order of the messenger RNA ?'}]
what happens to the light independent reactions of photosynthesis ?,[{'generated_text': 'what are the light-independent reactions of photosynthesis ?'}]
How Do You Find the mean of the squares of the first 10 counting numbers,[{'generated_text': 'how many kinds of numbers are there in a positive integer ?'}]
what ended the era of good feelings,"[{'generated_text': ""why was the Era of good Feelings so closely related with Monroe 's presidency ?""}]"
what did mia hamm do his work,[{'generated_text': 'who is the writer of the documentary Dare to Dream ?'}]
how did the new york red bulls started in the mls,"[{'generated_text': ""what 's the team 's best result in the MLS ?""}]"
what countries are under the buddhism religion,"[{'generated_text': 'according to the article , how many people are there in the state of india according to'}]"
how many land rovers have landed on mars,[{'generated_text': 'how many successful robot rovers have landed on the planet by now ?'}]
how do forensic auditors examine financial reporting,[{'generated_text': 'what type of financial audits is not required by the law ?'}]
what does a silver dollar 1873 coin look like,"[{'generated_text': 'why are the Sacagawea and Presidential dollars often called "" golden dollars "" ?'}]"
how fast is one g,[{'generated_text': 'how much is the vertical g-force in the stationary case ?'}]
What did the augurs use to interpret the will of the gods ?,"[{'generated_text': 'what did the underline word "" taking the auspices "" mean ?'}]"
how were letters sealed in the 1800s,[{'generated_text': 'when did the study of seals begin ?'}]
what does a groundhog look for on groundhog day,[{'generated_text': 'what do modern festivals involve ?'}]
how is the weather in tampa,[{'generated_text': 'what is the relationship between large bodies of water and atmosphere ?'}]
What generates gamma radiation,[{'generated_text': 'what is the most possible number of electromagnetic radiation ?'}]
how many presidential terms did fdr serve,[{'generated_text': 'why did the bipartisan Conservative Coalition form ?'}]
What committees are joint committees,[{'generated_text': 'what is a Joint Committee ?'}]
HOW MANY BROTHELS WERE THERE IN THE UNITED STATES IN 1840 'S,[{'generated_text': 'how many brothels are there in the 8 counties ?'}]
how many stripes on the flag,[{'generated_text': 'how many colors are there in the flag ?'}]
How many states and territories are within India ?,[{'generated_text': 'how many states and seven union territories are there ?'}]
what congressional district am i in,[{'generated_text': 'which is true according to the text ?'}]
how many people have mariah carey dated ?,[{'generated_text': 'when wasCarey named the best-selling female artist of the millennium ?'}]
how much does cloud 10 cost wikipedia,[{'generated_text': 'which column of the atmosphere is the homosphere ?'}]
what county is galveston in texas,[{'generated_text': 'how many cities does the county have in terms of population ?'}]
what cities are in the bahamas,[{'generated_text': 'which city is not mentioned in the article ?'}]
how is single malt scotch made,[{'generated_text': 'what is the age statement on a bottle of single malt Scotch ?'}]
what composer used sound mass,[{'generated_text': 'what kind of music is this textural ?'}]
what do you call to the grade six pupils ?,[{'generated_text': 'where did the lecture take place ?'}]
what continent is australia,[{'generated_text': 'how many countries are mentioned in the article ?'}]
how does rainfall in new york affect the environment ?,[{'generated_text': 'how many people live in the city now ?'}]
What did the hollywood blacklist have to do with McCarthy,[{'generated_text': 'what was the result of McCarthyism ?'}]
how does frederick trick napoleon in animal farm,[{'generated_text': 'what isoleon ?'}]
how many days it take for neptune to orbit once,[{'generated_text': 'what is the first regional-scale underwater ocean observatory ?'}]
how many mhz is ARM9 base,[{'generated_text': 'what kind of machine isARM9 ?'}]
what does it mean to be a commonwealth state,[{'generated_text': 'what is commonwealth ?'}]
how many people died at the pentagon in 9 11,[{'generated_text': 'how did the 9/11 terrorist attacks affect the global economy ?'}]
how many people visit crater lake national park each year,[{'generated_text': 'which is the right order of steps from the foot of the caldera rim to the'}]
how long can you be in the supreme court,[{'generated_text': 'what is the opinion of the Supreme Court of the us ?'}]
what county in texas is conroe located in,[{'generated_text': 'how far is it from Conroe to Houston ?'}]
what edition of book of mormon had 103 sections,[{'generated_text': 'what is the key event of the book according to the text ?'}]
how high can enlisted soldiers get in the marines,"[{'generated_text': 'what can the term "" non-commissioned officers "" mean ?'}]"
what a wonderful world covers,"[{'generated_text': 'who wrote the song "" what a Wonderful world "" ?'}]"
What did movie theaters do for sound before synchronized sound was introduced into film,[{'generated_text': 'what was the first steps in the commercialization of sound cinema ?'}]
how people live in africa,[{'generated_text': 'what is a black person ?'}]
how many for profit colleges in the usa,[{'generated_text': 'what kind of schools are the worst for-profits ?'}]
how did congress vote on the 22nd amendment,[{'generated_text': 'how many terms are there in the text ?'}]
how many episodes of bo bo bo bo bo bo bo,"[{'generated_text': 'what is the official name of the show "" Bobobo-bo-bobo "" ?'}]"
what building inside central park,[{'generated_text': 'where is the most visited urban park in the us ?'}]
how does a dredge work ?,[{'generated_text': 'how can a grab dredge make waterways navigable ?'}]
how do former volcanoes affect hydrothermal activity,"[{'generated_text': 'what is the umbrella of `` Plate hypothesis "" volcanism ?'}]"
what did benedict arnold die,[{'generated_text': 'why wasnold well received by some members of the royal family ?'}]
how many world series did curt schilling have,[{'generated_text': 'how many times hasschilling retired ?'}]
how many star wars movies are there,[{'generated_text': 'how many films were made in the series according to the text ?'}]
how much will a transfusion of platelet apheresis raise the platelet count,"[{'generated_text': 'if a patient has bleeding and hemorrhage , what should he do ?'}]"
how many ports are there in networking,[{'generated_text': 'what is the combination of IP address and port number together ?'}]
what area code is 479,[{'generated_text': 'when was area code 501 created ?'}]
what does arraignment mean,[{'generated_text': 'what is the probable cause of this arraignment ?'}]
how much chicago snow did we get in 1979,[{'generated_text': 'how did plows keep up with the snowfall ?'}]
what does am and pm stand for,[{'generated_text': 'when was the 12-hour clock developed ?'}]
how is canada 's health care,[{'generated_text': 'which country spent the most on health care in the 1960s and 1970s ?'}]
how many pounds is a ton ?,"[{'generated_text': 'how many uses does the word "" weigh "" have ?'}]"
how many series in hockey before the stanley cup,[{'generated_text': 'how many times has the cup been awarded to a Canadian-based team in the NHL ?'}]
how do pineapples grow,[{'generated_text': 'what can we learn from the article ?'}]
how many bytes in an unsigned int c++,[{'generated_text': 'how many kinds of data types are there in a computer ?'}]
how much does it cost to set up hydroelectric,[{'generated_text': 'what is the gravitational force of falling or flowing water ?'}]
what country did wine originate in,[{'generated_text': 'what was the result of the phylloxera louse ?'}]
how many district are in west bengal,[{'generated_text': 'how many districts are there in the state ?'}]
what caribbean island is part of France ?,[{'generated_text': 'which island arcs do you think belong to ?'}]
how many towns in new hampshire,[{'generated_text': 'how many cities and towns are mentioned in this article ?'}]
how did the african slave trade affect africans in terms of economy,[{'generated_text': 'who was the first owner of slaves in the world ?'}]
How many consecutive starts did Brett Favre have this season ?,"[{'generated_text': 'who is "" the Gunslinger "" ?'}]"
what does salesforce.com do ?,[{'generated_text': 'which is wrong ?'}]
how long does it take for seahorses to mate ?,"[{'generated_text': 'when did the word "" Seahorse "" come from ?'}]"
what does 1 year mean to the planet,[{'generated_text': 'why is the moon called the world or the blue Planet ?'}]
what is feedback mechanism in plants during respiration,[{'generated_text': 'how does a cell gain useful energy to fuel cellular activity ?'}]
how fire extinguisher works,[{'generated_text': 'which type of fire extinguisher is made by amerex ?'}]
What did native americans do all day,[{'generated_text': 'what was the greatest loss of life for the indigenous population in the west ?'}]
what countries are in central america ?,[{'generated_text': 'where does this text probably come from ?'}]
how did scrubs end,[{'generated_text': 'how many seasons didBraff appear in ?'}]
how does a steam engine work,[{'generated_text': 'what is the ideal thermodynamic cycle used to analyze this process ?'}]
what key is ludacris move bitch in ?,"[{'generated_text': 'who contributed the song "" Move "" to the album Word of mouf ?'}]"
what happens to queen elizabeth 's old dresses,[{'generated_text': 'how old was the queen when she died ?'}]
how is christianity viewed in australia,[{'generated_text': 'how many people were there in the country at the time of the Federation of Australia in 1901'}]
how many miles is harvard university from yale university ?,[{'generated_text': 'how many books are there in the library ?'}]
how does sagebrush effect community idaho,[{'generated_text': 'what flower is the state flower of Nevada ?'}]
how many users on mail.com,"[{'generated_text': 'what is true about the traditional `` Yahoo ! Mail "" ?'}]"
what county is tacoma washington in,"[{'generated_text': 'why is the city of Destiny known as the `` City of Destiny "" ?'}]"
what county is chula vista ca in,"[{'generated_text': 'why is the name "" chula Vista "" ?'}]"
what did isaac newton do,[{'generated_text': 'what is known as the infinitesimal calculus ?'}]
what does the universal law of gravitation state,[{'generated_text': 'what is the law of gravitation according to the text ?'}]
how many US soldiers killed in Iraq war,"[{'generated_text': 'what does the word "" casualties "" mean ?'}]"
How did the highwaymen get their name 1800,[{'generated_text': 'what kind of person was a highwayman ?'}]
how did magic johnson get aids,[{'generated_text': 'when was he rated the greatest basketball point guard ?'}]
how does a cell function,[{'generated_text': 'how many kinds of cells are divided into unicellular and multicellular ?'}]
how does grecian formula work ?,[{'generated_text': 'what was banned in the european countries ?'}]
what are projection headlights,[{'generated_text': 'what is a headlamp ?'}]
How did women work for equal rights during the women 's movement ? Were their efforts successful ?,[{'generated_text': 'what is the basic right of women and girls ?'}]
how many times has whoopi been married,[{'generated_text': 'how many times has Goldberg won an acting award ?'}]
how many professional hockey teams in canada,[{'generated_text': 'how many countries does the NHL have players from ?'}]
what do maggots turn into to ?,"[{'generated_text': 'what does "" maggot "" mean in the text ?'}]"
how did king herod die,[{'generated_text': 'where was Herod Antipas from ?'}]
what antigen in present in type o+ and o- blood,[{'generated_text': 'what is the most important blood type system in blood transfusion ?'}]
what happened in 1907,[{'generated_text': 'when was the last common year ?'}]
what county is northville mi,[{'generated_text': 'where is the city of northville located ?'}]
what does strith,[{'generated_text': 'how many Tony awards hasritch been given ?'}]
how many episodes are in the first season of misfits,[{'generated_text': 'how long has the series been going on ?'}]
how many games did brett favre start in a row,"[{'generated_text': 'who is "" the Gunslinger "" ?'}]"
how many us planes were hijacked to cuba ?,[{'generated_text': 'what was the most serious aircraft hijackings around the world ?'}]
How did Sen Wayne Morse die ?,[{'generated_text': 'when was morse elected to the u.s. Senate ?'}]
what does a vote to table a motion mean ?,"[{'generated_text': 'which dialects have the sense of "" to table "" ?'}]"
what happens at the end of toy story 3,[{'generated_text': 'which film won the award for best animated film ?'}]
WHAT HAPPENED TO JOHN STARKS,[{'generated_text': 'when didarks play in the NBA ?'}]
What does the class mean for SDHC cards ?,[{'generated_text': 'what is the most suitable title for the text ?'}]
what films has hugh grant and richard curtis done together,"[{'generated_text': ""what is hugh 's characteristic of acting ?""}]"
how many social classes existed in the han dynasty,[{'generated_text': 'which period was the longest period of economic growth in the usa according to the text ?'}]
how frequently does tourettes occur,[{'generated_text': 'which of the statements would the writer probably agree with ?'}]
what car company makes the sunbeam,[{'generated_text': 'when did the sunbeam badge come out ?'}]
what channel is fox,[{'generated_text': 'why did the cable news network grow during the late 1990s and 2000s ?'}]
how many canals in mandibular first molar,[{'generated_text': 'what is special about the lingual groove ?'}]
how often is the florida legislature in session,[{'generated_text': 'how many houses are there in the us ?'}]
what cable company carry comcast sportsnet,[{'generated_text': 'what is the largest holding in cable networks ?'}]
what do porcupines eat,[{'generated_text': 'what is the common porcupine like ?'}]
How Hydrogen Fuel For Cars Work,[{'generated_text': 'what is a hydrogen fuel used for transportation ?'}]
what district is sacramento ?,[{'generated_text': 'how many campuses are there in the california ?'}]
how much money does steve jobs make a year,[{'generated_text': 'why was jobs considered one of the greatest turnarounds in business history ?'}]
what does a roman numeral L stand for ?,[{'generated_text': 'why did use of the numbers 1 to 10 continue after the decline of the Roman Empire ?'}]
What does the idea of effective nuclear charge tell us,[{'generated_text': 'how can we determine the strength of the nuclear charge ?'}]
How many miles of interstates are there in the united states ?,[{'generated_text': 'what has contributed in shaping the us into a world economic superpower and a highly industrialized nation ?'}]
what domain is eu,[{'generated_text': 'what is ccTLD ?'}]
What does the name `` Meister '' mean in German,"[{'generated_text': 'what \'s the meaning of "" maestro "" ?'}]"
what happened to original pink power rangers,"[{'generated_text': ""what was the show 's theme ?""}]"
How did Edgar Allan Poe die ?,[{'generated_text': 'why did the writer leave the university ?'}]
how do producers eat carnivores,[{'generated_text': 'why are plants called carnivores ?'}]
how many teams are in the world cup,[{'generated_text': 'how many countries took part in the 19th world cup ?'}]
how many seasons heroes,[{'generated_text': 'when did the first season of the show begin ?'}]
how did j.p morgan become a wealthy man ?,[{'generated_text': 'who stopped the Panic of 1907 ?'}]
how many episodes of mnemosyne,[{'generated_text': 'how many pieces of theme music are used for the six programs ?'}]
what crimes do not have digital evidence,[{'generated_text': 'what is the use of digital forensics in the private sector ?'}]
what color space should i use,[{'generated_text': 'what is the mapping function between the color model and a certain reference color space ?'}]
what does life insurance cover ?,[{'generated_text': 'what type of writing is term insurance ?'}]
how many days does the chinese new year last,[{'generated_text': 'when was the Infobox holiday ?'}]
what happened to Mitzi Kapture,[{'generated_text': 'when did the Silk stalkings season 1 DVD come out ?'}]
how many consoles has xbox 360 sold,[{'generated_text': 'what is special about the Xbox 360 ?'}]
how is a backpack made,[{'generated_text': 'what kind of backpack is a novel ?'}]
WHAT COUNTRY IS MEXICO IN,[{'generated_text': 'how many countries has the largest nominal GDP and the eleventh largest GDP by purchasing power parity'}]
how is slugging percentage calculated,[{'generated_text': 'how many players are mentioned in this text ?'}]
what happens in chrono trigger if you lose to lavos,[{'generated_text': 'why wasrono Trigger considered one of the greatest video games of all time ?'}]
what cheese is made from goat 's milk,[{'generated_text': 'what kind of cheese is goat cheese ?'}]
how does heat stroke affect the heart,[{'generated_text': 'which is the most probable cause of malignant hyperthermia ?'}]
what country is belize in,"[{'generated_text': ""what 's the country 's population growth rate in 2012 est . ) ?""}]"
how many stars on the first american flag,[{'generated_text': 'what is special about the Betsy Ross flag ?'}]
how does a cat purr,[{'generated_text': 'what is a purr ?'}]
what do platypus eat,[{'generated_text': 'why is the platypus the animal emblem of the state of New south Wales ?'}]
what county is St. Elizabeth MO in,[{'generated_text': 'where was the population in the 2010 census ?'}]
what county is wilton ca in,[{'generated_text': 'what is the relationship between the two cities ?'}]
what does the term means by paste and text,[{'generated_text': 'what is the paste command used for ?'}]
what happened to stevie ray vaughan,[{'generated_text': 'why was the memorial statue built ?'}]
what does coca cola do for nausea/vomiting,[{'generated_text': 'what does the company sell concentrate for ?'}]
how many gold gloves does barry larkin have,[{'generated_text': 'when was larkin elected to the baseball Hall of Fame ?'}]
what caused ww,[{'generated_text': 'what was the cause of the war in the Balkans ?'}]
What country has a single solid color flag,[{'generated_text': 'which flag is not a national flag ?'}]
how did the civil war end,[{'generated_text': 'which is not the reason for the civil war in 1860 ?'}]
what causes Phthisis bulbi after birth,[{'generated_text': 'how many people have been reported so far ?'}]
what kind of legal remedy is it to ask someone to fulfill there promise,"[{'generated_text': 'according to the text , what is a party to a contract ?'}]"
how is ASP.NET different from .NET,"[{'generated_text': ""what 's the function of the web application framework ?""}]"
how does lsd impact the human body,[{'generated_text': 'why were new experiments with LSD banned ?'}]
how many hours apart do navy seals run,"[{'generated_text': 'what does the word "" SEAL "" mean ?'}]"
how many people are in the world,[{'generated_text': 'what is the total number of living humans on earth ?'}]
how many people live in memphis tennessee,[{'generated_text': 'how many cities are there in the state ?'}]
how many nuclear countries in the world,[{'generated_text': 'how many nuclear power stations are there in the world ?'}]
how many muscles in the human body,[{'generated_text': 'how many examples are given by the writer to show the different muscle types ?'}]
how did seminole war end,[{'generated_text': 'why did the first conflict with the Seminoles occur ?'}]
what county is orono maine in,[{'generated_text': 'where was the original Penobscot Nation ?'}]
how many towers are in the luxor las vegas,[{'generated_text': 'how many hotels are there in the world ?'}]
how many fire station are in los angeles,[{'generated_text': 'what is the official name of the fire department ?'}]
how much square feet is an acre,[{'generated_text': 'what is the most common use of the acre today ?'}]
how did the arrival of the horse affect the pawnee indians,[{'generated_text': 'who is the real name of the pawnee people ?'}]
how does the brain process language,[{'generated_text': 'what is the essential function of the cortical language areas ?'}]
how much does a bugatti veyron cost,[{'generated_text': 'why was the original car named car of the Decade ?'}]
how much time can store on dvd dl,[{'generated_text': 'what can be learned from the text ?'}]
what ethnicity is bruno mars,[{'generated_text': 'what type of writing is this text ?'}]
what do ancients myths explain,[{'generated_text': 'which is true according to the text ?'}]
How do you do Mouth MacNeal,"[{'generated_text': ""what 's the name of mouth & MacNeal ?""}]"
what division is boise state football,"[{'generated_text': ""where are the Boise State Broncos ' home games ?""}]"
how much does 1952 us 1/2 franc weight,[{'generated_text': 'why is the franc still issued in europe ?'}]
how much money did charlie chaplin make in any year in the 1920,[{'generated_text': 'what did chaplin do through his screen persona ?'}]
how does planned parenthood fund abortions ?,[{'generated_text': 'what kind of organization is PPFA ?'}]
What does the term `` mens rea '' mean,[{'generated_text': 'what is mens rea ?'}]
what does s in ulysses s grant stand for,[{'generated_text': 'how many times did the Radical Republicans win passage of the Fifteenth Amendment ?'}]
what do UA 's detect,"[{'generated_text': 'what is a `` 10-panel urine screen "" ?'}]"
how many missions has the us sent to mars,[{'generated_text': 'what are the uses of space exploration according to the text ?'}]
how many terms did calvin coolidge serve,[{'generated_text': 'why did some criticize Coolidge ?'}]
how much caffeine is in a shot of espresso,[{'generated_text': 'why are the flavors and chemicals in a typical cup of espresso very concentrated ?'}]
how is a contract legally binding ?,"[{'generated_text': 'according to the text , what is a party to a contract ?'}]"
how did the penguins acquire sidney crosby,[{'generated_text': 'how many games did Crosby play in the Stanley Cup ?'}]
what does add my two cents mean,"[{'generated_text': 'what is the use of the phrase "" disagree "" ?'}]"
what happened to kuomintang after the chinese civil war,[{'generated_text': 'how did the PLA get popular support in the early civil war ?'}]
how many representative in congress 2011,[{'generated_text': 'how many times have senators been elected to regular terms ?'}]
how much total wealth in USA,[{'generated_text': 'what is a net worth according to the text ?'}]
How will I feel after my Rhizotomy surgery ?,[{'generated_text': 'what is a facet rhizotomy ?'}]
what does a migrant worker do,"[{'generated_text': ""what 's the meaning of the term migrant worker ?""}]"
what does the tear tattoo mean,[{'generated_text': 'why did Lil Wayne get the teardrop tattoos below his eyes ?'}]
how much of US 75 is 4 lane,[{'generated_text': 'where is this article from ?'}]
how did streets in lower 9th ward new orleans get their names,[{'generated_text': 'how many wards were there in the 9th Ward before it was added ?'}]
how was the moon formed,"[{'generated_text': ""what is the coincidence of the moon 's gravitational influence ?""}]"
what did ronald reagan do as president,[{'generated_text': 'how old was reagan when he left office ?'}]
how many verses does the chapter 21 of the book of joshua have according to the aleppo codex,[{'generated_text': 'where is the text most probably from ?'}]
how much hp does 2005 kawasaki 636 have,[{'generated_text': 'what was the name of the Ninja line of Kawasaki motorcycles in the 1980s ?'}]
how many presidents have been assassinated,[{'generated_text': 'why do political groups not make such attacks ?'}]
what genre is where the red fern grows,[{'generated_text': 'what is where the red Fern grows about ?'}]
what does oklahoma produce,[{'generated_text': 'how many states are there in the us ?'}]
how many redwall books are there,[{'generated_text': 'how many books has the writer written ?'}]
how many decatherms in a therm,[{'generated_text': 'how many units of natural gas are used in the same article ?'}]
what date did the american civil war start,[{'generated_text': 'which is not the reason for the civil war in 1860 ?'}]
what does bruce jenner do,[{'generated_text': 'when did he win the gold medal for decathlon ?'}]
what area code is 217,[{'generated_text': 'what is area code 217 ?'}]
what causes destruction of the ozone layer,[{'generated_text': 'what is the ozone hole ?'}]
what does it mean to form a more perfect union,[{'generated_text': 'what is the text about ?'}]
how do i measure the shot put throw,[{'generated_text': 'what is the correct order of the shot put ?'}]
what countries belong with the united nations,[{'generated_text': 'what is the final decision of the Security Council ?'}]
what color is the eiffel tower,[{'generated_text': 'how many people have ever visited the tower ?'}]
How many consecutive games did Ken Jennings win ?,[{'generated_text': 'when didJennings make his first appearance on Jeopardy ! ?'}]
how old do you need to be to play professional football in the canadian league,[{'generated_text': 'how long did the regular season last in 2010 ?'}]
what antibodies are produced in large quantities,[{'generated_text': 'why do antibodies bind to a different antigen ?'}]
what happened to the zodiac killer,"[{'generated_text': 'why did the killer use the symbol "" zodiac "" ?'}]"
how does nanotechnology affect health,"[{'generated_text': 'what is the plural form "" nanotechnologies "" ?'}]"
what countries were depended on USSR after 1945,[{'generated_text': 'what is the map of the Eastern Bloc ?'}]
what day does election results for a new governor start in NJ,[{'generated_text': 'how did the votes come out ?'}]
how much does united states spend on health care,[{'generated_text': 'what is the percentage of the population in the us that does not guarantee access to health care'}]
how much water is the human body made of,[{'generated_text': 'which part of the body is not divided into intracellular and extracellular ?'}]
what does low self esteem mean,[{'generated_text': 'what is self-esteem ?'}]
how long has Pilkington company existed,[{'generated_text': 'what was NSG before its acquisition by NSG ?'}]
what happened in 1877 in us,[{'generated_text': 'what is true about the year 1877 ?'}]
how does black pepper grow,[{'generated_text': 'how long hasried ground pepper been used ?'}]
how frequent do you inspect hydrants,[{'generated_text': 'how did the fire plugs get their name ?'}]
how south african leaders are elected,[{'generated_text': 'why did deklerk quit ?'}]
how school librarians support students with disabilities in europe,[{'generated_text': 'what kind of education is general education ?'}]
what does the name `` soros '' mean ?,"[{'generated_text': 'why is he known as `` the man who Broke the Bank of England "" ?'}]"
how was the phone invented,[{'generated_text': 'why did the inventor of the telephone sue several people and numerous companies ?'}]
what can i do with a masters of fine arts degree,[{'generated_text': 'what is the most important admission requirement for a student in a certain program ?'}]
how many died in hiroshima and nagasaki,[{'generated_text': 'why were the atomic bombings conducted by the u.s.a. ?'}]
how did mohammed gandhi die,[{'generated_text': 'how was the honorific Mahatma used in the us ?'}]
how did Joan Crawford die ?,[{'generated_text': 'why did crawford get married to Alfred Steele ?'}]
what does tonneau mean on a watch ?,"[{'generated_text': ""what 's the disadvantage of the tonneau cover ?""}]"
what does doug 's father in law say about vegas before he leaves the hangover,[{'generated_text': 'why didLucas and Moore write the film ?'}]
how many cells are produced during the cell cycle,[{'generated_text': 'how do the gametes from the mother and the gamete from the father make up'}]
how many rounds in boxing,[{'generated_text': 'what is the birth hour of boxing as a sport ?'}]
how does agreement show grammatical relation,"[{'generated_text': 'according to the text , when a word changes form , what should we do ?'}]"
how much of california is below sea level,[{'generated_text': 'where are the places below mean sea level ?'}]
what kind of books does debbie macomber writes,[{'generated_text': 'when did the writer win the fan-voted Quill Award for romance ?'}]
what county is catonsville md in,"[{'generated_text': ""how far is the community from the city 's border ?""}]"
what does the family leave act,[{'generated_text': 'what was the bill intended to do ?'}]
how did the vietnam war end,[{'generated_text': 'why did the u.s. military take part in the war ?'}]
how do you know if a volcano is extinct,"[{'generated_text': 'what is the umbrella of `` Plate hypothesis "" volcanism ?'}]"
How is the pothole formed,[{'generated_text': 'where is the pothole ?'}]
how much more time does chemo give to people with renal cancer,[{'generated_text': 'what is the most dangerous of all the genitourinary tumors ?'}]
what does peritoneal cavity hold,[{'generated_text': 'what is the peritoneum ?'}]
